Código de la Institución,IES PADRE,Institución de Educación Superior (IES),Principal oSeccional,Id_Sector,Id_Caracter,Código del departamento(IES),Departamento de domicilio de la IES,Código del Municipio(IES),Municipio dedomicilio de la IES,Código SNIES delprograma,Programa Académico,Id_Nivel,Id_Nivel_Formacion,Id_Metodologia,Id_Area,Núcleo Básico del Conocimiento (NBC),Código del Departamento(Programa),Departamento de oferta del programa,Código del Municipio(Programa),Municipio de oferta del programa,Id Género,Año,Semestre,Total Matriculados
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,576,RECREACION,1,6,1,3,EDUCACION,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,115
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,576,RECREACION,1,6,1,3,EDUCACION,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,57
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,577,COMUNICACION SOCIAL,1,6,1,5,COMUNICACIÓN SOCIAL PERIODISMO Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,103
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,577,COMUNICACION SOCIAL,1,6,1,5,COMUNICACIÓN SOCIAL PERIODISMO Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,109
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,579,ECONOMIA,1,6,1,6,ECONOMIA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,187
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,579,ECONOMIA,1,6,1,6,ECONOMIA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,235
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,580,ADMINISTRACION DE EMPRESAS,1,6,1,6,ADMINISTRACION,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,229
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,580,ADMINISTRACION DE EMPRESAS,1,6,1,6,ADMINISTRACION,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,290
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,581,CONTADURIA PUBLICA,1,6,1,6,CONTADURIA PUBLICA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,335
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,581,CONTADURIA PUBLICA,1,6,1,6,CONTADURIA PUBLICA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,232
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,582,INGENIERIA AGRICOLA,1,6,1,8,INGENIERIA AGRICOLA FORESTAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,82
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,582,INGENIERIA AGRICOLA,1,6,1,8,INGENIERIA AGRICOLA FORESTAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,138
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,583,INGENIERIA CIVIL,1,6,1,8,INGENIERIA CIVIL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,66
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,583,INGENIERIA CIVIL,1,6,1,8,INGENIERIA CIVIL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,209
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,584,INGENIERIA DE SISTEMAS,1,6,1,8,INGENIERIA DE SISTEMAS TELEMATICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,46
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,584,INGENIERIA DE SISTEMAS,1,6,1,8,INGENIERIA DE SISTEMAS TELEMATICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,248
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,585,INGENIERIA ELECTRICA,1,6,1,8,INGENIERIA ELECTRICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,36
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,585,INGENIERIA ELECTRICA,1,6,1,8,INGENIERIA ELECTRICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,234
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,586,INGENIERIA ELECTRONICA,1,6,1,8,INGENIERIA ELECTRONICA TELECOMUNICACIONES Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,37
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,586,INGENIERIA ELECTRONICA,1,6,1,8,INGENIERIA ELECTRONICA TELECOMUNICACIONES Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,255
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,587,INGENIERIA INDUSTRIAL,1,6,1,8,INGENIERIA INDUSTRIAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,143
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,587,INGENIERIA INDUSTRIAL,1,6,1,8,INGENIERIA INDUSTRIAL Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,217
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,588,INGENIERIA MECANICA,1,6,1,8,INGENIERIA MECANICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,15
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,588,INGENIERIA MECANICA,1,6,1,8,INGENIERIA MECANICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,258
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,589,INGENIERIA QUIMICA,1,6,1,8,INGENIERIA QUIMICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,117
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,589,INGENIERIA QUIMICA,1,6,1,8,INGENIERIA QUIMICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,166
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,590,INGENIERIA SANITARIA Y AMBIENTAL,1,6,1,8,INGENIERIA AMBIENTAL SANITARIA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,590,INGENIERIA SANITARIA Y AMBIENTAL,1,6,1,8,INGENIERIA AMBIENTAL SANITARIA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,2
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,591,ARQUITECTURA,1,6,1,8,ARQUITECTURA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,152
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,591,ARQUITECTURA,1,6,1,8,ARQUITECTURA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,219
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,592,BIOLOGIA,1,6,1,9,BIOLOGIA MICROBIOLOGIA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,146
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,592,BIOLOGIA,1,6,1,9,BIOLOGIA MICROBIOLOGIA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,146
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,593,ESTADISTICA,1,6,1,9,MATEMATICAS ESTADISTICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,120
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,593,ESTADISTICA,1,6,1,9,MATEMATICAS ESTADISTICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,148
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,594,FISICA,1,6,1,9,FISICA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,19
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,594,FISICA,1,6,1,9,FISICA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,102
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,595,MATEMATICAS,1,6,1,9,MATEMATICAS ESTADISTICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,30
